State,Town,7_2009
Alabama,.Abbeville city,"2,930"
Alabama,.Adamsville city,"4,782"
Alabama,.Addison town,709
Alabama,.Akron town,433
Alabama,.Alabaster city,"29,861"
Alabama,.Albertville city,"20,115"
Alabama,.Alexander City city,"15,114"
Alabama,.Aliceville city,"2,417"
Alabama,.Allgood town,737
Alabama,.Altoona town,966
Alabama,.Andalusia city,"8,863"
Alabama,.Anderson town,355
Alabama,.Anniston city,"23,561"
Alabama,.Arab city,"8,272"
Alabama,.Ardmore town,"1,288"
Alabama,.Argo town,"1,961"
Alabama,.Ariton town,746
Alabama,.Arley town,318
Alabama,.Ashford town,"2,100"
Alabama,.Ashland town,"1,890"
Alabama,.Ashville city,"2,643"
Alabama,.Athens city,"24,194"
Alabama,.Atmore city,"10,109"
Alabama,.Attalla city,"6,587"
Alabama,.Auburn city,"57,828"
Alabama,.Autaugaville town,877
Alabama,.Avon town,488
Alabama,.Babbie town,624
Alabama,.Baileyton town,722
Alabama,.Bakerhill town,322
Alabama,.Banks town,222
Alabama,.Bay Minette city,"8,342"
Alabama,.Bayou La Batre city,"3,163"
Alabama,.Bear Creek town,990
Alabama,.Beatrice town,384
Alabama,.Beaverton town,205
Alabama,.Belk town,207
Alabama,.Benton town,42
Alabama,.Berry town,"1,172"
Alabama,.Bessemer city,"28,772"
Alabama,.Billingsley town,118
Alabama,.Birmingham city,"230,131"
Alabama,.Black town,210
Alabama,.Blountsville town,"2,000"
Alabama,.Blue Springs town,118
Alabama,.Boaz city,"8,501"
Alabama,.Boligee town,331
Alabama,.Bon Air town,94
Alabama,.Brantley town,905
Alabama,.Brent city,"4,182"
Alabama,.Brewton city,"5,240"
Alabama,.Bridgeport city,"2,602"
Alabama,.Brighton city,"3,376"
Alabama,.Brilliant town,941
Alabama,.Brookside town,"1,337"
Alabama,.Brookwood town,"1,979"
Alabama,.Brundidge city,"2,259"
Alabama,.Butler town,"1,689"
Alabama,.Calera city,"10,984"
Alabama,.Camden city,"2,144"
Alabama,.Camp Hill town,"1,213"
Alabama,.Carbon Hill city,"2,026"
Alabama,.Cardiff town,81
Alabama,.Carolina town,245
Alabama,.Carrollton town,910
Alabama,.Castleberry town,548
Alabama,.Cedar Bluff town,"1,635"
Alabama,.Center Point city,"15,519"
Alabama,.Centre city,"3,461"
Alabama,.Centreville city,"2,609"
Alabama,.Chatom town,"1,147"
Alabama,.Chelsea city,"4,596"
Alabama,.Cherokee town,"1,161"
Alabama,.Chickasaw city,"5,934"
Alabama,.Childersburg city,"4,935"
Alabama,.Citronelle city,"3,751"
Alabama,.Clanton city,"8,929"
Alabama,.Clay city,"8,409"
Alabama,.Clayhatchee town,493
Alabama,.Clayton town,"1,392"
Alabama,.Cleveland town,"1,427"
Alabama,.Clio city,"2,354"
Alabama,.Coaling town,"1,192"
Alabama,.Coffee Springs town,256
Alabama,.Coffeeville town,339
Alabama,.Coker town,819
Alabama,.Collinsville town,"2,000"
Alabama,.Colony town,412
Alabama,.Columbia town,853
Alabama,.Columbiana city,"4,090"
Alabama,.Coosada town,"1,687"
Alabama,.Cordova city,"2,260"
Alabama,.Cottonwood town,"1,215"
Alabama,.County Line town,271
Alabama,.Courtland town,761
Alabama,.Cowarts town,"1,660"
Alabama,.Creola city,"2,073"
Alabama,.Crossville town,"1,513"
Alabama,.Cuba town,306
Alabama,.Cullman city,"15,302"
Alabama,.Cusseta town,111
Alabama,.Dadeville city,"3,233"
Alabama,.Daleville city,"4,532"
Alabama,.Daphne city,"19,542"
Alabama,.Dauphin Island town,"1,602"
Alabama,.Daviston town,260
Alabama,.Dayton town,58
Alabama,.Deatsville town,379
Alabama,.Decatur city,"56,411"
Alabama,.Demopolis city,"7,300"
Alabama,.Detroit town,223
Alabama,.Dodge City town,653
Alabama,.Dora city,"2,410"
Alabama,.Dothan city,"67,525"
Alabama,.Double Springs town,971
Alabama,.Douglas town,632
Alabama,.Dozier town,394
Alabama,.Dutton town,303
Alabama,.East Brewton city,"2,471"
Alabama,.Eclectic town,"1,160"
Alabama,.Edwardsville town,195
Alabama,.Elba city,"4,213"
Alabama,.Elberta town,"1,514"
Alabama,.Eldridge town,172
Alabama,.Elkmont town,556
Alabama,.Elmore town,767
Alabama,.Emelle town,28
Alabama,.Enterprise city,"25,885"
Alabama,.Epes town,179
Alabama,.Ethelsville town,75
Alabama,.Eufaula city,"14,521"
Alabama,.Eutaw town,"2,845"
Alabama,.Eva town,593
Alabama,.Evergreen city,"3,460"
Alabama,.Excel town,602
Alabama,.Fairfield city,"11,336"
Alabama,.Fairhope city,"17,550"
Alabama,.Fairview town,615
Alabama,.Falkville town,"1,218"
Alabama,.Faunsdale town,82
Alabama,.Fayette city,"4,657"
Alabama,.Five Points town,136
Alabama,.Flomaton town,"1,538"
Alabama,.Florala town,"1,869"
Alabama,.Florence city,"38,119"
Alabama,.Foley city,"14,197"
Alabama,.Forkland town,574
Alabama,.Fort Deposit town,"1,156"
Alabama,.Fort Payne city,"14,165"
Alabama,.Franklin town,142
Alabama,.Frisco City town,"1,331"
Alabama,.Fruithurst town,285
Alabama,.Fulton town,294
Alabama,.Fultondale city,"6,993"
Alabama,.Fyffe town,"1,060"
Alabama,.Gadsden city,"36,719"
Alabama,.Gainesville town,192
Alabama,.Gantt town,237
Alabama,.Garden City town,593
Alabama,.Gardendale city,"13,720"
Alabama,.Gaylesville town,141
Alabama,.Geiger town,140
Alabama,.Geneva city,"4,445"
Alabama,.Georgiana town,"1,550"
Alabama,.Geraldine town,844
Alabama,.Gilbertown town,166
Alabama,.Glen Allen town,468
Alabama,.Glencoe city,"5,321"
Alabama,.Glenwood town,194
Alabama,.Goldville town,36
Alabama,.Good Hope town,"2,090"
Alabama,.Goodwater town,"1,477"
Alabama,.Gordo town,"1,521"
Alabama,.Gordon town,425
Alabama,.Gordonville town,293
Alabama,.Goshen town,303
Alabama,.Grant town,721
Alabama,.Graysville city,"2,392"
Alabama,.Greensboro city,"2,527"
Alabama,.Greenville city,"6,929"
Alabama,.Grimes town,453
Alabama,.Grove Hill town,"1,319"
Alabama,.Guin city,"2,149"
Alabama,.Gulf Shores city,"10,268"
Alabama,.Guntersville city,"8,601"
Alabama,.Gurley town,877
